marca,ACA,AV,BA,BC,CH,CTE,DM,discrim,DI,ELT,EEG,EC,ES,FF,HI,LDN,SR,SRR,MEM,PHE,RR,RRP,SBF,SS,SMB,subc,TC,TEC,TI,usuAgua,label,total
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,14.5
2,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,1,7.5
3,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,5.5
4,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,1,6.5
5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,15
8,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0.5,1,11
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,1,10
16,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,1,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0.5
20,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,2,7.5
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
22,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,2,8.5
23,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,2,9.5
24,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,2,2
25,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,2,10
26,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,2,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
28,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,2,3
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
32,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,2,8
33,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,12
34,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,2
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,10
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0.5,0,4.5
41,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,10
42,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0,10.5
43,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1
44,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,11.5
