marca,antiss,AV,BA,BC,DRML,dresc,DI,EEG,EC,ES,FAFP,HTID,LADON,LSR,RE,RP,SBF,SS,SMB,UA
1,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0
2,"0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25",0,"0,25"
3,0,"0,25",0,0,"0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25",0,0,0,"0,25",0,0,0
4,"0,25","0,25",0,"0,25",0,"0,25","0,25","0,25","0,25",0,0,0,"0,25","0,25","0,25","0,25",0,"0,25","0,25",0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"0,25","0,25",0,0,0,"0,25",0,0,0,0,0,0,"0,25",0,0,0,"0,25",0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",0,"0,25","0,25","0,25","0,25","0,25",0,0,"0,25",0,"0,25"
14,"0,25","0,25",0,"0,25",0,"0,25",0,0,"0,25",0,0,0,"0,25",0,0,0,"0,25","0,25",0,0
15,"0,25",0,"0,25","0,25",0,0,0,"0,25","0,25",0,"0,25",0,0,"0,25","0,25",0,"0,25","0,25","0,25",0
16,0,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
